Name,Market-Cap,Price-to-Earnings,Price-to-Book,Current-Ratio,Financial-Position,Uninterupted-Divs,Ten-year-growth,No-Earnings-Deficit
3M Company,114.277B,20.17,8.31,1.84,false,true,true,true
A.O. Smith Corp,10.947B,28.22,5.96,1.86,true,false,true,true
Abbott Laboratories,212.725B,37.62,6.49,N/A,false,false,false,true
AbbVie Inc.,196.779B,38.28,15.05,N/A,false,true,true,true
Abiomed,14.507B,64.93,10.92,6.11,true,N/A,true,false
Accenture,184.319B,34.32,10.07,1.39,N/A,false,true,true
Activision Blizzard,70.65B,32.34,4.70,3.41,true,false,true,true
Adobe Inc.,242.987B,44.26,17.98,1.27,N/A,false,true,true
Advance Auto Parts,13.063B,28.03,3.70,1.32,true,true,true,true
Advanced Micro Devices,99.17B,34.27,15.31,2.51,true,true,true,false
AES Corp,18.587B,434.69,7.03,1.01,false,false,true,false
Aflac,36.574B,6.91,1.14,0.62,false,true,true,true
Agilent Technologies,40.72B,51.46,8.48,2.07,false,false,false,true
Air Products & Chemicals,63.834B,33.89,5.03,2.95,N/A,false,true,true
Akamai Technologies,17.747B,32.26,4.16,2.55,false,N/A,true,true
Alaska Air Group,8.604B,N/A,2.99,0.90,N/A,false,false,false
Albemarle Corporation,19.628B,47.78,4.21,1.22,N/A,true,false,true
Alexandria Real Estate Equities,26.713B,31.56,2.03,3.04,N/A,false,true,false
Alexion Pharmaceuticals,37.264B,62.01,3.18,3.59,N/A,N/A,true,true
Align Technology,47.128B,103.34,13.86,1.52,true,N/A,true,true
Allegion,12.091B,29.40,16.63,2.07,false,true,true,true
Alliant Energy,14.05B,22.74,2.47,0.68,false,true,true,true
Allstate Corp,38.083B,7.33,1.36,0.55,false,false,true,true
Alphabet Inc. (Class A),1.596T,31.36,6.87,3.10,N/A,N/A,true,true
Alphabet Inc. (Class C),1.596T,32.12,7.03,3.10,N/A,N/A,true,true
Altria Group Inc,88.442B,20.48,30.36,0.80,false,false,false,false
Amazon.com Inc.,1.748T,65.97,16.91,1.05,false,N/A,true,false
Amcor,18.353B,37.54,3.53,1.28,N/A,false,false,true
Ameren Corp,21.669B,24.24,2.40,0.76,false,true,true,false
American Airlines Group,13.931B,N/A,N/A,1.04,false,false,true,false
American Electric Power,44.333B,19.41,2.11,0.42,false,true,true,true
American Express,123.187B,25.14,5.04,1.51,true,false,true,true
American International Group,41.781B,N/A,0.63,0.72,false,false,false,false
American Tower Corp.,113.321B,59.11,29.18,0.72,false,false,true,true
American Water Works,28.307B,39.90,4.38,0.66,false,false,true,true
Ameriprise Financial,29.974B,N/A,5.45,8.07,false,false,true,true
AmerisourceBergen,24.728B,N/A,N/A,0.99,N/A,false,false,false
Ametek,31.142B,35.79,5.23,2.34,N/A,N/A,true,true
Amgen Inc.,137.686B,19.85,14.77,1.65,false,true,true,true
Amphenol Corp,40.361B,32.30,7.38,2.43,N/A,true,true,true
Analog Devices Inc.,56.5B,40.62,4.67,1.57,N/A,false,true,true
ANSYS Inc.,31.862B,73.57,7.72,2.36,true,N/A,true,true
Anthem,92.89B,20.30,2.75,1.57,N/A,true,true,true
Aon plc,56.864B,29.74,16.22,1.07,false,false,true,true
APA Corporation,7.559B,N/A,N/A,1.41,false,N/A,false,false
Apple Inc.,2.207T,29.55,31.71,1.14,false,false,true,true
Applied Materials Inc.,121.783B,31.74,10.62,3.17,true,true,true,true
Aptiv PLC,38.917B,21.59,4.92,1.85,false,N/A,true,true
Archer-Daniels-Midland Co,35.271B,17.15,1.69,1.58,true,false,false,true
Arista Networks,24.038B,39.45,7.23,4.99,true,N/A,true,true
Arthur J. Gallagher & Co.,28.292B,33.29,4.22,1.10,N/A,false,true,true
Assurant,9.417B,22.25,1.52,0.59,false,true,false,true
AT&T Inc.,224.267B,N/A,1.36,0.82,false,true,false,false
Atmos Energy,13.276B,20.13,1.84,1.49,false,true,true,true
Autodesk Inc.,64.101B,53.66,66.39,0.83,false,false,true,false
Automatic Data Processing,79.658B,32.49,14.04,1.05,true,false,true,true
AutoZone Inc,32.265B,18.51,N/A,0.93,N/A,N/A,true,true
AvalonBay Communities,26.804B,33.56,2.51,N/A,false,false,true,true
Avery Dennison Corp,17.78B,28.52,11.36,1.28,false,false,true,true
Baker Hughes Co,20.915B,N/A,N/A,1.59,false,false,false,false
Ball Corp,30.72B,53.20,9.37,1.05,N/A,N/A,N/A,N/A
Bank of America Corp,347.315B,17.39,1.39,N/A,false,false,true,false
Baxter International Inc.,43.34B,41.40,5.10,2.46,false,false,false,true
Becton Dickinson,72.294B,47.34,2.93,1.36,N/A,true,false,true
Berkshire Hathaway,630.975B,0.01,0.00,3.53,N/A,N/A,N/A,N/A
Best Buy Co. Inc.,29.073B,17.00,6.51,1.19,true,false,true,false
Bio-Rad Laboratories,18.815B,4.64,1.77,3.57,true,N/A,true,true
Biogen Inc.,40.248B,13.86,3.77,2.12,N/A,N/A,true,true
BlackRock,125.058B,23.74,3.54,N/A,N/A,false,true,true
Boeing Company,137.027B,N/A,N/A,1.33,N/A,false,false,false
Booking Holdings Inc,101.239B,1712.56,20.64,3.56,false,true,true
BorgWarner,11.612B,20.76,1.81,1.62,N/A,false,true,true
Boston Properties,17.067B,37.36,2.95,4.66,N/A,false,true,true
Boston Scientific,61.935B,309.22,4.03,N/A,false,true,true,false
Bristol-Myers Squibb,139.442B,N/A,3.71,1.56,false,false,false,false
Broadcom Inc.,186.267B,52.76,7.76,2.14,false,true,true,false
Broadridge Financial Solutions,18.369B,35.85,12.81,1.37,false,true,true,true
Brown-Forman Corp.,35.681B,40.15,14.79,3.75,N/A,N/A,N/A,N/A
C. H. Robinson Worldwide,12.731B,26.10,6.94,1.60,N/A,false,true,true
Cabot Oil & Gas,6.658B,24.48,2.89,1.31,N/A,N/A,true,false
Cadence Design Systems,36.667B,56.31,14.42,1.70,true,N/A,true,true
Campbell Soup,14.469B,17.96,4.95,0.90,false,false,false,true
